specimen_name,scan_number,segment_index,start_x,start_y,end_x,end_y,length_pixels,length_microns,angle_degrees
int_01_01,0009,12,1363,1429,1582,1622,291.9075,331.7120,41.39
int_01_01,0009,13,1582,1622,1617,1733,116.3873,132.2579,72.50
int_01_01,0009,14,1598,1760,1461,1783,138.9172,157.8600,-9.53
int_01_01,0009,15,1461,1783,1361,1946,191.2302,217.3064,-58.47
int_01_01,0009,16,1361,1946,1514,2047,183.3303,208.3292,33.43
int_01_01,0010,0,1584,0,1646,168,179.0754,203.4941,69.74
int_01_01,0010,1,1646,168,1479,193,168.8609,191.8868,-8.51
int_01_01,0010,2,1479,193,1377,350,187.2245,212.7544,-56.99
int_01_01,0010,3,1388,412,1578,529,223.1345,253.5611,31.62
int_01_01,0010,4,1578,529,1620,654,131.8674,149.8488,71.43
int_01_01,0010,5,1620,654,1495,696,131.8674,149.8488,-18.57
int_01_01,0010,6,1495,696,1352,869,224.4504,255.0565,-50.42
int_01_01,0010,7,1360,910,1551,982,204.1201,231.9539,20.65
int_01_01,0010,8,1551,982,1627,1137,172.6297,196.1694,63.88
int_01_01,0010,9,1627,1137,1460,1194,176.4596,200.5217,-18.85
int_01_01,0010,10,1460,1194,1338,1345,194.1262,220.5973,-51.06
int_01_01,0010,11,1338,1345,1535,1438,217.8486,247.5544,25.27
int_01_01,0010,12,1535,1438,1596,1543,121.4331,137.9917,59.85
int_01_01,0010,13,1591,1587,1461,1648,143.6001,163.1815,-25.14
int_01_01,0010,14,1461,1648,1356,1792,178.2162,202.5177,-53.90
int_01_01,0010,15,1356,1792,1525,1889,194.8589,221.4299,29.85
int_01_01,0010,16,1525,1889,1608,2047,178.4741,202.8108,62.29
int_01_01,0011,0,1460,0,1591,110,171.0585,194.3840,40.02
int_01_01,0011,1,1591,110,1652,235,139.0899,158.0562,63.99
int_01_01,0011,2,1652,235,1497,274,159.8312,181.6257,-14.12
int_01_01,0011,3,1497,274,1377,462,223.0336,253.4465,-57.45
int_01_01,0011,4,1378,499,1575,597,220.0295,250.0328,26.45
int_01_01,0011,5,1575,597,1646,762,179.6274,204.1214,66.72
int_01_01,0011,6,1646,762,1520,850,153.6880,174.6449,-34.93
int_01_01,0011,7,1443,832,1363,964,154.3503,175.3975,-58.78
int_01_01,0011,8,1378,1024,1572,1135,223.5106,253.9885,29.78
int_01_01,0011,9,1572,1135,1637,1304,181.0690,205.7596,68.96
int_01_01,0011,10,1637,1304,1467,1333,172.4558,195.9719,-9.68
