specimen_name,scan_number,total_contact_length_microns,total_contact_length_mm,SAEF,MID_mm,VIR,CAT_HORIZONTAL_len_mm,CAT_CLOSING_len_mm,CAT_OPENING_UPPER_len_mm,CAT_OPENING_LOWER_len_mm
slo_70_01,0005,2921.8613,2.9219,1.2901,0.8739,0.2172,0.0000,1.8337,1.0881,0.0000
slo_70_01,0006,2868.3778,2.8684,1.2386,0.7784,0.2567,0.0000,1.7262,1.1421,0.0000
slo_70_01,0007,2923.0991,2.9231,1.2868,0.8864,0.2264,0.0000,1.6438,1.2793,0.0000
slo_70_01,0008,2871.8800,2.8719,1.2346,0.7852,0.2516,0.0000,1.7637,1.1082,0.0000
slo_70_01,0009,2878.4795,2.8785,1.2755,0.8625,0.2314,0.0000,1.4579,1.4205,0.0000
slo_70_01,0010,2991.4597,2.9915,1.3563,0.8170,0.2491,0.0000,2.7761,0.2153,0.0000
slo_70_01,0011,3002.1903,3.0022,1.2906,0.9068,0.2244,0.0000,1.6421,1.3601,0.0000
slo_70_01,0012,2914.0603,2.9141,1.2664,0.8034,0.2356,0.0000,1.5002,1.4139,0.0000
slo_70_01,0013,3008.3897,3.0084,1.2933,0.8909,0.2246,0.0000,1.5148,1.4936,0.0000
slo_70_01,0014,2939.9611,2.9400,1.2994,0.8670,0.2173,0.0000,1.4623,1.4777,0.0000
slo_70_01,0015,2981.7910,2.9818,1.2819,0.7557,0.2502,0.0000,1.5875,1.3943,0.0000
slo_70_01,0016,2893.7138,2.8937,1.2726,0.7977,0.2348,0.0000,1.6164,1.2773,0.0000
slo_75_01,0001,2751.5391,2.7515,1.2241,0.6670,0.2214,0.0000,1.6912,1.0603,0.0000
slo_75_01,0002,2865.6974,2.8657,1.3073,0.5659,0.2511,0.0000,2.0105,0.8552,0.0000
slo_75_01,0003,3319.6486,3.3196,1.4271,0.5727,0.2634,0.0000,2.8948,0.4249,0.0000
slo_75_01,0004,3098.2149,3.0982,1.3319,0.5932,0.2449,0.0000,2.2797,0.8185,0.0000
slo_75_01,0005,2914.2622,2.9143,1.2528,0.6761,0.2157,0.0000,1.7866,1.1277,0.0000
slo_75_01,0006,2939.9384,2.9399,1.2639,0.6909,0.2052,0.0000,2.0071,0.9328,0.0000
slo_75_01,0007,2934.1343,2.9341,1.2614,0.5955,0.2524,0.0000,2.2478,0.6863,0.0000
slo_75_01,0008,2951.3400,2.9513,1.2688,0.6909,0.2027,0.0000,2.1365,0.8148,0.0000
slo_75_01,0009,3105.9113,3.1059,1.3749,0.6818,0.2333,0.0000,2.1033,1.0027,0.0000
slo_75_01,0010,3127.5576,3.1276,1.3445,0.7034,0.2284,0.0000,2.1579,0.9696,0.0000
slo_75_01,0011,2965.0561,2.9651,1.2747,0.6841,0.2000,0.0000,2.1178,0.8472,0.0000
slo_75_01,0012,2927.5163,2.9275,1.2585,0.7136,0.2324,0.0000,1.9613,0.9662,0.0000
slo_75_01,0013,2919.8493,2.9198,1.2552,0.6091,0.2219,0.0000,1.8762,1.0437,0.0000
slo_75_01,0014,2751.0907,2.7511,1.2021,0.6477,0.1998,0.0000,1.8870,0.8640,0.0000
slo_75_01,0015,3626.2481,3.6262,1.6060,1.2102,0.1374,0.7325,2.3000,0.5937,0.0000
slo_80_01,0001,3085.9602,3.0860,1.3267,0.7216,0.1910,0.0000,1.9340,1.1519,0.0000
slo_80_01,0002,2888.9648,2.8890,1.2420,0.4795,0.2240,0.0000,2.0476,0.8413,0.0000
slo_80_01,0003,2917.9264,2.9179,1.2544,0.5216,0.2030,0.0000,1.9486,0.9693,0.0000
slo_80_01,0004,2865.5485,2.8655,1.2319,0.5307,0.2202,0.0000,1.9994,0.5857,0.2804
slo_80_01,0005,2803.3884,2.8034,1.2347,0.5273,0.1631,0.0000,2.1451,0.5458,0.1125
slo_80_01,0006,3140.0420,3.1400,1.3499,0.4989,0.2079,0.0000,2.1861,0.9539,0.0000
slo_80_01,0007,2808.5708,2.8086,1.2476,0.4409,0.2429,0.0000,1.8578,0.9507,0.0000
slo_80_01,0008,3112.9872,3.1130,1.3383,0.5011,0.2114,0.0000,2.5553,0.5577,0.0000
slo_80_01,0009,2857.1802,2.8572,1.2283,0.4182,0.2068,0.0922,1.7273,0.8536,0.1841
slo_80_01,0010,2703.6552,2.7037,1.1778,0.5182,0.1868,0.0000,2.3774,0.2314,0.0949
