specimen_name,scan_number,segment_index,start_x,start_y,end_x,end_y,length_pixels,length_microns,angle_degrees
slo_40_01,0009,4,934,664,886,893,233.9765,265.8815,-78.16
slo_40_01,0009,5,886,893,1201,970,324.2746,368.4927,13.74
slo_40_01,0009,6,1201,970,1546,1198,413.5323,469.9216,33.46
slo_40_01,0009,7,1546,1198,1510,1381,186.5074,211.9395,-78.87
slo_40_01,0009,8,1510,1381,1814,1473,317.6161,360.9263,16.84
slo_40_01,0009,9,1814,1473,2125,1665,365.4928,415.3314,31.69
slo_40_01,0009,10,2125,1665,2112,1902,237.3563,269.7222,-86.86
slo_40_01,0009,11,2112,1902,2444,1974,339.7175,386.0414,12.24
slo_40_01,0009,12,2444,1974,2494,2047,88.4816,100.5470,55.59
slo_40_01,0010,0,257,0,333,81,111.0720,126.2178,46.82
slo_40_01,0010,1,333,81,288,264,188.4516,214.1488,-76.18
slo_40_01,0010,2,288,264,648,348,369.6701,420.0783,13.13
slo_40_01,0010,3,648,348,924,549,341.4337,387.9916,36.06
slo_40_01,0010,4,924,549,884,739,194.1649,220.6412,-78.11
slo_40_01,0010,5,884,739,1234,826,360.6508,409.8291,13.96
slo_40_01,0010,6,1234,826,1517,1022,344.2456,391.1869,34.71
slo_40_01,0010,7,1517,1022,1493,1237,216.3354,245.8349,-83.63
slo_40_01,0010,8,1493,1237,1844,1311,358.7158,407.6302,11.91
slo_40_01,0010,9,1844,1311,2128,1515,349.6741,397.3557,35.69
slo_40_01,0010,10,2128,1515,2079,1745,235.1616,267.2283,-77.97
slo_40_01,0010,11,2079,1745,2395,1823,325.4843,369.8673,13.87
slo_40_01,0010,12,2395,1823,2732,2047,404.6542,459.8328,33.61
slo_40_01,0011,0,0,78,291,165,303.7269,345.1430,16.65
slo_40_01,0011,1,291,165,606,340,360.3471,409.4840,29.05
slo_40_01,0011,2,624,366,617,584,218.1124,247.8542,-88.16
slo_40_01,0011,3,617,584,935,661,327.1895,371.8051,13.61
slo_40_01,0011,4,935,661,1222,863,350.9601,398.8170,35.14
slo_40_01,0011,5,1222,863,1198,1081,219.3171,249.2232,-83.72
slo_40_01,0011,6,1198,1081,1559,1164,370.4187,420.9290,12.95
slo_40_01,0011,7,1559,1164,1827,1360,332.0241,377.2989,36.18
slo_40_01,0011,8,1827,1360,1793,1557,199.9125,227.1725,-80.21
slo_40_01,0011,9,1793,1557,2148,1645,365.7444,415.6174,13.92
slo_40_01,0011,10,2148,1645,2411,1827,319.8328,363.4452,34.68
slo_40_01,0011,11,2411,1827,2390,2047,221.0000,251.1356,-84.55
slo_40_01,0011,12,2536,1995,2877,1995,341.0000,387.4988,0.00
slo_40_01,0012,0,237,0,421,94,206.6204,234.7952,27.06
slo_40_01,0012,1,421,94,344,232,158.0285,179.5772,-60.84
slo_40_01,0012,2,344,232,356,321,89.8053,102.0512,82.32
slo_40_01,0012,3,356,321,641,402,296.2870,336.6887,15.87
slo_40_01,0012,4,641,402,954,576,358.1131,406.9454,29.07
slo_40_01,0012,5,975,603,955,825,222.8991,253.2936,-84.85
slo_40_01,0012,6,955,825,1241,914,299.5280,340.3716,17.29
slo_40_01,0012,7,1241,914,1586,1123,403.3683,458.3716,31.21
slo_40_01,0012,8,1586,1123,1568,1337,214.7557,244.0398,-85.19
slo_40_01,0012,9,1568,1337,1900,1419,341.9766,388.6085,13.87
